order_item_id,order_id,product_id,quantity,unit_price,total_price,discount_amount
1,1,464,1,2289.53,2289.53,0.0
2,1,605,1,7120.03,7120.03,0.0
3,1,435,1,1846.46,1846.46,0.0
4,2,70,1,8817.93,8817.93,0.0
5,3,145,1,10752.68,10752.68,0.0
6,4,395,3,8644.55,25933.64,0.0
7,5,114,1,2451.64,2451.64,0.0
8,5,791,1,5777.27,5777.27,0.0
9,6,676,1,1723.29,1723.29,0.0
10,7,771,1,4105.7,4105.7,0.0
11,7,27,2,3538.45,6473.48,603.42
12,8,459,1,4011.53,4011.53,0.0
13,9,313,1,7269.03,7150.82,118.21
14,9,647,1,1919.75,1914.63,5.12
15,9,190,1,13649.67,13649.67,0.0
16,10,242,2,3249.66,6474.12,25.21
17,10,577,2,1518.83,3037.66,0.0
18,10,423,1,5832.0,5832.0,0.0
19,11,630,1,5316.89,5316.89,0.0
20,12,221,1,8297.31,8297.31,0.0
21,12,398,1,7375.27,7375.27,0.0
22,13,406,1,8839.75,8006.41,833.34
23,14,559,1,4785.26,4785.26,0.0
24,14,24,1,14881.4,14881.4,0.0
25,15,459,1,3708.14,3708.14,0.0
26,15,523,1,4451.75,4451.75,0.0
27,15,702,1,5438.38,5438.38,0.0
28,16,777,1,1683.54,1683.54,0.0
29,17,656,1,10072.79,10072.79,0.0
30,17,161,1,13442.4,13442.4,0.0
31,17,597,1,15521.37,15521.37,0.0
32,18,707,1,7415.11,7415.11,0.0
33,18,606,2,4444.04,8888.08,0.0
34,19,511,1,8658.42,8601.09,57.33
35,19,373,1,1277.62,1277.62,0.0
36,19,712,1,9868.32,9868.32,0.0
37,19,333,1,8642.14,8335.97,306.17
38,20,100,1,8282.48,8091.0,191.49
39,20,334,1,3883.06,3883.06,0.0
40,21,54,1,13248.35,13248.35,0.0
41,21,566,1,14197.01,14197.01,0.0
42,21,656,1,1698.16,1698.16,0.0
43,22,545,3,14100.45,42301.35,0.0
44,23,782,1,7456.37,7235.47,220.9
45,23,220,1,7025.47,7025.47,0.0
46,23,609,2,12223.89,24447.78,0.0
47,23,120,1,6064.54,6064.54,0.0
48,24,398,1,13278.72,13278.72,0.0
49,24,784,2,1134.93,2269.85,0.0
50,24,472,1,1115.35,1115.35,0.0
51,24,744,1,814.31,814.31,0.0
52,25,785,2,3088.76,6177.51,0.0
53,25,10,1,11172.72,11172.72,0.0
54,25,170,1,1236.81,1236.81,0.0
55,26,243,1,5313.87,5313.87,0.0
56,26,293,1,1588.58,1588.58,0.0
57,27,777,1,4546.45,4546.45,0.0
58,27,582,1,11060.94,10187.93,873.01
59,28,633,1,7146.48,7146.48,0.0
60,28,90,1,7088.95,6630.62,458.33
61,29,633,1,12729.06,11699.49,1029.57
62,29,552,1,8007.15,8007.15,0.0
63,29,746,1,1420.13,1420.13,0.0
64,30,449,1,5349.1,5349.1,0.0
65,31,680,1,4424.85,4424.85,0.0
66,31,94,1,648.08,648.08,0.0
67,32,724,1,7904.82,7904.82,0.0
68,33,267,2,3484.99,6940.81,29.17
69,33,127,2,8593.08,17186.16,0.0
70,34,317,1,10101.15,10101.15,0.0
71,34,297,3,5104.29,14829.84,483.03
72,35,225,2,12724.17,25448.34,0.0
73,36,474,1,7044.17,7044.17,0.0
74,36,112,2,1166.57,2333.14,0.0
75,36,489,1,1607.87,1607.87,0.0
76,37,201,1,10199.07,10199.07,0.0
77,37,102,1,7133.26,7133.26,0.0
78,38,745,2,7922.76,15845.51,0.0
79,39,576,2,8460.59,16056.51,864.67
80,39,559,1,2930.91,2785.16,145.75
81,40,605,1,11036.77,10450.64,586.13
82,40,699,1,14531.09,14531.09,0.0
83,41,308,2,9900.22,19800.45,0.0
84,41,284,2,5384.71,10301.74,467.69
85,41,91,1,897.93,890.18,7.75
86,41,551,2,4433.82,8169.7,697.93
87,42,168,1,12259.38,11206.08,1053.29
88,43,141,2,3018.19,5460.63,575.75
89,43,395,2,11070.99,21939.64,202.34
90,43,686,1,6868.15,6764.45,103.7
91,44,184,2,3725.8,6955.95,495.65
92,45,705,1,6753.85,6753.85,0.0
93,46,440,1,3255.49,3255.49,0.0
94,46,615,1,1071.08,1071.08,0.0
95,47,260,2,4791.27,9582.54,0.0
96,47,397,1,2062.64,1896.19,166.45
97,47,148,2,12598.51,25197.02,0.0
98,48,665,1,6848.54,6848.54,0.0
99,49,24,1,2814.22,2814.22,0.0
100,49,608,1,10557.86,10557.86,0.0
101,50,160,1,10052.68,10052.68,0.0
102,51,494,1,11233.42,11233.42,0.0
103,51,435,1,2854.83,2729.65,125.18
104,52,594,1,7518.07,7368.18,149.89
105,52,278,1,1223.42,1191.67,31.76
106,53,747,1,9356.3,9356.3,0.0
107,53,533,1,12642.39,12642.39,0.0
108,53,713,1,11506.58,11453.83,52.75
109,54,671,2,2261.51,4523.03,0.0
110,54,83,1,3546.22,3546.22,0.0
111,55,319,2,2017.65,4035.3,0.0
112,55,764,1,13833.8,13833.8,0.0
113,55,351,1,2176.14,2118.98,57.16
114,56,205,1,12138.74,12138.74,0.0
115,57,624,1,10752.5,10752.5,0.0
116,58,208,2,13387.83,26775.66,0.0
117,58,516,1,1849.54,1849.54,0.0
118,59,161,2,995.07,1990.14,0.0
119,60,651,1,12640.09,12640.09,0.0
120,61,509,1,8503.63,8057.02,446.61
121,62,720,1,10046.18,10046.18,0.0
122,62,608,3,1158.32,3474.96,0.0
123,63,512,2,5630.93,10414.16,847.7
124,63,450,1,9684.9,9167.21,517.68
125,64,41,1,5773.84,5773.84,0.0
126,64,251,1,10000.1,10000.1,0.0
127,65,66,1,6158.03,6158.03,0.0
128,66,323,1,13851.04,13851.04,0.0
129,67,784,1,10783.81,10783.81,0.0
130,67,704,1,2754.58,2754.58,0.0
131,67,554,2,8792.8,17585.61,0.0
132,67,177,1,8914.85,8914.85,0.0
133,68,465,2,10222.43,20444.85,0.0
134,69,138,2,7565.82,15131.64,0.0
135,70,342,1,10223.17,10223.17,0.0
136,71,741,2,12325.88,24056.08,595.68
137,71,693,1,9237.1,9237.1,0.0
138,72,32,1,8372.74,7738.61,634.14
139,72,530,1,12246.84,12246.84,0.0
140,73,53,2,10918.83,21837.67,0.0
141,73,302,2,6293.47,12586.94,0.0
142,74,443,1,585.06,585.06,0.0
143,74,252,1,11064.02,11064.02,0.0
144,74,371,1,12391.88,12391.88,0.0
145,75,205,1,7752.28,7752.28,0.0
146,75,64,3,8359.19,25077.56,0.0
147,75,691,1,5663.88,5663.88,0.0
148,75,275,1,5406.86,5406.86,0.0
149,76,774,1,7851.75,7851.75,0.0
150,76,403,1,3233.63,3233.63,0.0
151,77,535,2,6421.35,12842.7,0.0
152,78,358,2,1282.36,2564.71,0.0
153,79,794,1,4832.2,4832.2,0.0
154,79,394,2,6479.91,12959.82,0.0
